project_slug,cve_id,github_username,github_repository_name,commit,file,class,class_start,class_end,method,method_start,method_end,signature
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,252,ClassPathResource,75,86,"ClassPathResource(String,ClassLoader)"
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,252,getPath,112,113,String getPath()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/embeddedserver/jetty/EmbeddedJettyFactoryTest.java,EmbeddedJettyFactoryTest,13,69,create,17,30,void create()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/embeddedserver/jetty/EmbeddedJettyFactoryTest.java,EmbeddedJettyFactoryTest,13,69,create_withNullThreadPool,52,65,void create_withNullThreadPool()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/embeddedserver/jetty/EmbeddedJettyFactoryTest.java,EmbeddedJettyFactoryTest,13,69,create_withThreadPool,34,48,void create_withThreadPool()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/examples/staticresources/StaticResources.java,StaticResources,25,27,main,27,33,void main(String)
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,252,getPath,112,113,String getPath()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,252,ClassPathResource,75,86,"ClassPathResource(String,ClassLoader)"
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/embeddedserver/jetty/EmbeddedJettyFactoryTest.java,EmbeddedJettyFactoryTest,13,69,create,17,30,void create()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/embeddedserver/jetty/EmbeddedJettyFactoryTest.java,EmbeddedJettyFactoryTest,13,69,create_withNullThreadPool,52,65,void create_withNullThreadPool()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/embeddedserver/jetty/EmbeddedJettyFactoryTest.java,EmbeddedJettyFactoryTest,13,69,create_withThreadPool,34,48,void create_withThreadPool()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/test/java/spark/examples/staticresources/StaticResources.java,StaticResources,25,27,main,27,33,void main(String)
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,249,ClassPathResource,93,96,"ClassPathResource(String,ClassLoader,Class)"
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,249,getInputStream,136,146,InputStream getInputStream()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,249,getURL,158,168,URL getURL()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,249,exists,117,124,boolean exists()
perwendel__spark_CVE-2018-9159_2.7.1,CVE-2018-9159,perwendel,spark,030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc,src/main/java/spark/resource/ClassPathResource.java,ClassPathResource,41,249,equals,225,239,boolean equals(Object)
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/resource/ClassPathResourceHandler.java,ClassPathResourceHandler,31,60,getResource,60,87,AbstractFileResolvingResource getResource(String)
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/resource/ExternalResourceHandler.java,ExternalResourceHandler,31,59,getResource,59,86,AbstractFileResolvingResource getResource(String)
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/staticfiles/StaticFilesConfiguration.java,StaticFilesConfiguration,49,248,consumeWithFileResourceHandlers,85,106,"boolean consumeWithFileResourceHandlers(HttpServletRequest,HttpServletResponse)"
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/staticfiles/StaticFilesConfiguration.java,StaticFilesConfiguration,49,248,configure,155,180,void configure(String)
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/staticfiles/StaticFilesConfiguration.java,StaticFilesConfiguration,49,248,setExpireTimeSeconds,239,241,void setExpireTimeSeconds(long)
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/staticfiles/StaticFilesConfiguration.java,StaticFilesConfiguration,49,248,configureJarCase,185,203,"boolean configureJarCase(String,ClassPathResource)"
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/main/java/spark/utils/StringUtils.java,StringUtils,45,376,toString,376,390,"String toString(byte,String)"
perwendel__spark_CVE-2016-9177_2.5.1,CVE-2016-9177,perwendel,spark,efcb46c710e3f56805b9257a63d1306882f4faf9,src/test/java/spark/StaticFilesTest.java,StaticFilesTest,42,166,testCustomMimeType,107,109,void testCustomMimeType()
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CVE-2018-1047,wildfly,wildfly,735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c,testsuite/integration/web/src/test/java/org/jboss/as/test/integration/web/servlet/overlays/ServletResourceOverlaysTestCase.java,ServletResourceOverlaysTestCase,46,71,single,52,62,WebArchive single()
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CVE-2018-1047,wildfly,wildfly,735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c,testsuite/integration/web/src/test/java/org/jboss/as/test/integration/web/servlet/overlays/ServletResourceOverlaysTestCase.java,ServletResourceOverlaysTestCase,46,71,testLifeCycle,71,77,void testLifeCycle()
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CVE-2018-1047,wildfly,wildfly,735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c,undertow/src/main/java/org/wildfly/extension/undertow/deployment/ServletResourceManager.java,ServletResourceManager,42,139,getResource,72,96,Resource getResource(String)
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CVE-2018-1047,wildfly,wildfly,735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c,testsuite/integration/web/src/test/java/org/jboss/as/test/integration/web/servlet/overlays/ServletResourceOverlaysTestCase.java,ServletResourceOverlaysTestCase,55,102,single,61,77,WebArchive single()
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CVE-2018-1047,wildfly,wildfly,735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c,testsuite/integration/web/src/test/java/org/jboss/as/test/integration/web/servlet/overlays/ServletResourceOverlaysTestCase.java,ServletResourceOverlaysTestCase,55,102,testPathAccess,102,130,void testPathAccess()
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CVE-2018-1047,wildfly,wildfly,735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c,testsuite/integration/web/src/test/java/org/jboss/as/test/integration/web/servlet/overlays/ServletResourceOverlaysTestCase.java,ServletResourceOverlaysTestCase,55,102,testLifeCycle,86,92,void testLifeCycle()
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,CVE-2018-12542,vert-x3,vertx-web,57a65dce6f4c5aa5e3ce7288685e7f3447eb8f3b,vertx-web/src/main/java/io/vertx/ext/web/handler/impl/StaticHandlerImpl.java,StaticHandlerImpl,54,725,handle,132,152,void handle(RoutingContext)
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,CVE-2018-12542,vert-x3,vertx-web,57a65dce6f4c5aa5e3ce7288685e7f3447eb8f3b,vertx-web/src/main/java/io/vertx/ext/web/handler/impl/StaticHandlerImpl.java,StaticHandlerImpl,54,725,sendStatic,157,218,"void sendStatic(RoutingContext,String)"
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,CVE-2018-12542,vert-x3,vertx-web,57a65dce6f4c5aa5e3ce7288685e7f3447eb8f3b,vertx-web/src/test/java/io/vertx/ext/web/handler/StaticHandlerTest.java,StaticHandlerTest,49,723,testHandlerAfter,703,705,void testHandlerAfter()
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,CVE-2018-12542,vert-x3,vertx-web,57a65dce6f4c5aa5e3ce7288685e7f3447eb8f3b,vertx-web/src/test/java/io/vertx/ext/web/handler/StaticHandlerTest.java,StaticHandlerTest,49,723,toDateTime,713,719,long toDateTime(String)
